Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,tactico 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,October 2022,501,"4,866",10.30%,1.39, --,696.94, --,54.69%,81.19%,8.00,0,87.12, --,1.60%, --,11530.65,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,January 2025,497,"1,385",35.88%,2.22, --,1101.44, --,57.13%,82.07%,8.03,0,137.15, --,1.62%, --,6116.98,MXN
Risk Top Tactical,716-310-8729,ropa 5.11,Eligible,,Broad match,Search,Ropa 5.11,MXN,40.00,April 2026,494,"2,039",24.23%,2.60, --,1284.63, --,73.40%,94.59%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,September 2024,493,"1,248",39.50%,2.32, --,1141.39, --,69.01%,97.60%,2.40,0,475.75, --,0.49%, --,6327.13,MXN
Risk Top Tactical,716-310-8729,511 store,Removed,removed,Broad match,Search,5.11,MXN,0,March 2025,486,"3,770",12.89%,1.12, --,541.94, --,21.33%,57.62%,11.33,0,47.82, --,2.33%, --,699.67,MXN
Risk Top Tactical,716-310-8729,tiendas 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,May 2021,483,"3,075",15.71%,2.37, --,1144.85, --,36.89%,72.49%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,July 2024,471,903,52.16%,1.80, --,849.94, --,85.77%,92.50%,16.79,0,50.62, --,3.56%, --,6113.67,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,January 2025,468,"1,273",36.76%,2.90, --,1356.36, --,61.83%,82.74%,4.00,0,339.09, --,0.85%, --,850.00,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,May 2025,467,"2,243",20.82%,3.43, --,1602.64, --,73.17%,91.72%,5.00,0,320.53, --,1.07%, --,6395.99,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,March 2023,467,815,57.30%,2.26, --,1057.33, --,79.85%,99.13%,3.00,0,352.44, --,0.64%, --,9957.99,MXN
