"ID","Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"8873921413344","zombie"
"8547075916000","zombie"
"9196347982048","zombie"
"9065863545056","zombie"
"8915008848096","zombie"
"8272355918048","zombie"
"9635302965472","zombie"
"7819824398560","zombie"
"8272358506720","zombie"
"8858107085024","zombie"
"8769670480096","zombie"
"8824956125408","zombie"
"8050611060960","zombie"
"8880051552480","zombie"
"7919750676704","zombie"
"8794439975136","zombie"
"7819729928416","zombie"
"8895234310368","zombie"
"8097527496928","zombie"
"6268541305007","zombie"
"7072808775","zombie"
"9449021243616","zombie"
"5502244749472","zombie"
"9449078391008","zombie"
"7047891975","zombie"
"9447725433056","zombie"
"8858104725728","zombie"
"9093954011360","zombie"
"9065193701600","zombie"
"7819824431328","zombie"
"8972014452960","zombie"
"6581266055343","zombie"
"8097528381664","zombie"
"9052307194080","zombie"
"8050610438368","zombie"
"8840910668000","zombie"
"8951270670560","zombie"
"7919751332064","zombie"
"8272354509024","zombie"
"8014193787104","zombie"
"8546932228320","zombie"
"8066102821088","zombie"
"4490235543604","zombie"
"8691628867808","zombie"
"3716779311156","zombie"
"7919750643936","zombie"
"8097401045216","zombie"
"9018759872736","zombie"
"8781500023008","zombie"
"9450239885536","zombie"
"7928834359520","zombie"
"7819828822240","zombie"
"7919750512864","zombie"
"8014192640224","zombie"
"8896051020000","zombie"
"8683990417632","zombie"
"8272349167840","zombie"
"9117737910496","zombie"
"8859572404448","zombie"
"8050609357024","zombie"
"9094098223328","zombie"
"7819842683104","zombie"
"8840916205792","zombie"
"7736509530336","zombie"
"8685063766240","zombie"
"9065174302944","zombie"
"8793646924000","zombie"
"7928861458656","zombie"
"8014192607456","zombie"
"7819826364640","zombie"
"8990012899552","zombie"
"7819829149920","zombie"
"7919750447328","zombie"
"9447740375264","zombie"
"8873930162400","zombie"
"7819825709280","zombie"
"8991173116128","zombie"
"7819831967968","zombie"
"8990007525600","zombie"
"8014193885408","zombie"
"7919750709472","zombie"
"8097526939872","zombie"
"8972015534304","zombie"
"8904716976352","zombie"
"7820257788128","zombie"
"7819837047008","zombie"
"8878729396448","zombie"
"3716801232948","zombie"
"9045125333216","zombie"
"8824960090336","zombie"
"8642864283872","zombie"
"7919751004384","zombie"
"8825715065056","zombie"
"9052300148960","zombie"
"3781567905844","zombie"
"8794442399968","zombie"
"7919752216800","zombie"
"6690410954927","zombie"
"6136607146159","zombie"
"8017990189280","zombie"
"8050612076768","zombie"
"8858103840992","zombie"
"7919750873312","zombie"
"8858108625120","zombie"
"8951274143968","zombie"
"9094093013216","zombie"
"9447787954400","zombie"
"8272355360992","zombie"
"6210474573999","zombie"
"8991172788448","zombie"
"7919750775008","zombie"
"4348483338292","zombie"
"9044321140960","zombie"
"8906748362976","zombie"
"8547032432864","zombie"
"9449007907040","zombie"
"8906738041056","zombie"
"9065243279584","zombie"
"9534452487","zombie"
"7820255985888","zombie"
"9052298805472","zombie"
"8991174099168","zombie"
"9065232793824","zombie"
"9065232040160","zombie"
"8050612371680","zombie"
"8017990287584","zombie"
"8874739204320","zombie"
"7819825250528","zombie"
"8014192902368","zombie"
"4200157184052","zombie"
"7819837243616","zombie"
"8781498876128","zombie"
"8824992923872","zombie"
"8857621496032","zombie"
"7919752478944","zombie"
"6701916225711","zombie"
"6906705379503","zombie"
"8050610962656","zombie"
"9327739896032","zombie"
