Campaign performance
All time
Campaign,Campaign state,Campaign type,Month,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search lost IS (budget),Revenue
Video Ads,Paused,Demand Gen,October 2025,155,"41,788",0.37%,MXN,4.21,652.19,0,0,1.16,55,560.34,0.00%, --,2768.79
PMAX Improvers,Enabled,Performance Max,December 2025,127,"5,707",2.23%,MXN,1.89,240.00,0,0,0.50,2,480.00,0.27%,2.46%,975.00
Miguel Caballero,Paused,Search,April 2023,99,"3,682",2.69%,MXN,1.51,149.64,8.30%,46.42%,0.00,0,0,0.00%,0.02%,0.00
Miguel Caballero,Paused,Search,July 2025,96,"1,528",6.28%,MXN,4.93,473.44,26.73%,71.33%,0.00,0,0,0.00%,14.63%,0.00
Miguel Caballero,Paused,Search,May 2025,94,978,9.61%,MXN,4.10,385.53,41.16%,77.97%,1.00,0,385.53,1.06%,4.25%,0.00
Miguel Caballero,Paused,Search,June 2025,84,774,10.85%,MXN,4.51,379.23,38.05%,75.22%,1.00,0,379.23,1.19%,10.17%,0.00
Miguel Caballero,Paused,Search,January 2025,60,570,10.53%,MXN,3.12,187.13,18.30%,53.27%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,September 2022,57,543,10.50%,MXN,1.30,73.83,22.42%,68.77%,0.00,0,0,0.00%,0.56%,0.00
Miguel Caballero,Paused,Search,October 2024,57,843,6.76%,MXN,3.47,197.55,8.38%,36.76%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,October 2022,56,666,8.41%,MXN,0.87,48.69,20.91%,74.55%,0.00,0,0,0.00%,1.26%,0.00
Miguel Caballero,Paused,Search,February 2025,45,407,11.06%,MXN,2.29,102.85,21.35%,56.74%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,September 2024,38,763,4.98%,MXN,1.88,71.56,5.31%,26.81%,0.00,0,0,0.00%,1.13%,0.00
Miguel Caballero,Paused,Search,April 2025,38,428,8.88%,MXN,4.42,167.82,26.87%,61.69%,0.00,0,0,0.00%,2.75%,0.00
Miguel Caballero,Paused,Search,March 2025,37,410,9.02%,MXN,3.58,132.36,21.89%,62.13%,3.00,0,44.12,8.11%,0.00%,0.00
Miguel Caballero,Paused,Search,May 2023,33,"1,560",2.12%,MXN,1.86,61.22,7.44%,41.69%,1.00,0,61.22,3.03%,6.22%,0.00
Miguel Caballero,Paused,Search,December 2024,32,424,7.55%,MXN,2.79,89.41,21.79%,51.96%,0.00,0,0,0.00%,2.31%,0.00
Miguel Caballero,Paused,Search,November 2024,23,484,4.75%,MXN,2.17,49.83,7.92%,53.96%,2.00,0,24.92,8.70%,5.33%,0.00
Miguel Caballero,Paused,Search,November 2022,21,445,4.72%,MXN,0.86,18.09,10.22%,59.56%,0.00,0,0,0.00%,0.96%,0.00
Miguel Caballero,Paused,Search,August 2024,16,448,3.57%,MXN,1.11,17.73,4.62%,20.51%,0.00,0,0,0.00%,10.38%,0.00
Miguel Caballero,Paused,Search,August 2022,15,200,7.50%,MXN,2.32,34.82,13.02%,62.13%,0.00,0,0,0.00%,1.65%,0.00
PMAX Tiendas,Paused,Performance Max,December 2025,15,"14,236",0.11%,MXN,8.78,131.74,0,0,4.00,0,32.94,0.18%, --,0.00
Miguel Caballero,Paused,Search,October 2023,14,101,13.86%,MXN,3.01,42.18,25.00%,48.61%,0.00,0,0,0.00%,0.85%,0.00
Miguel Caballero,Paused,Search,September 2023,7,170,4.12%,MXN,1.93,13.53,11.20%,32.00%,0.00,0,0,0.00%,0.40%,0.00
Miguel Caballero,Paused,Search,April 2024,7,109,6.42%,MXN,2.48,17.39,13.95%,60.47%,0.00,0,0,0.00%,2.73%,0.00
Ubicaciones,Enabled,Search,June 2023,6,38,15.79%,MXN,2.33,13.97,31.82%,77.27%,0.00,0,0,0.00%,0.00%,0.00
Cybermonday,Paused,Demand Gen,November 2025,6,749,0.80%,MXN,0.36,2.18,0,0,0.00,0,0,0.00%, --,0.00
Miguel Caballero,Paused,Search,August 2023,4,138,2.90%,MXN,1.72,6.88,2.56%,42.31%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,January 2024,4,42,9.52%,MXN,1.01,4.04,3.70%,29.63%,0.00,0,0,0.00%,0.21%,0.00
Miguel Caballero,Paused,Search,March 2024,4,185,2.16%,MXN,4.75,19.01,10.47%,46.51%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,July 2023,1,22,4.55%,MXN,1.72,1.72,50.00%,66.67%,0.00,0,0,0.00%,0.00%,0.00
Miguel Caballero,Paused,Search,June 2023,0,6,0.00%,MXN,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00%,0.00
Miguel Caballero,Paused,Search,November 2023,0,23,0.00%,MXN,0,0.00,5.00%,25.00%,0.00,0,0,0,0.45%,0.00
Miguel Caballero,Paused,Search,December 2023,0,11,0.00%,MXN,0,0.00,0.00%,40.00%,0.00,0,0,0,4.30%,0.00
Miguel Caballero,Paused,Search,February 2024,0,36,0.00%,MXN,0,0.00,14.29%,80.95%,0.00,0,0,0,2.11%,0.00
