Title,Item ID,Clicks,Impr.,Orders,Currency code,Revenue,Cost,Product type (1st level),ROAS,CTR
CAMISA TACTICA 5.11 - RAPID ASSAULT Black / X-Large,shopify_mx_7819830296800_46280956477664,16,950,0.15,MXN,205.88,37.16,camisa hombre,554%,1.68%
CHAMARRA TACTICA 5.11 - PACKABLE WINDBREAKER Volcanic / Large,shopify_mx_8050610372832_44027696021728,16,625,0.06,MXN,189.94,38.76,chamarra,490%,2.56%
CHAMARRA TACTICA 5.11 - VALIANT DUTY Black / Large,shopify_mx_4169395109940_43250760220896,29,1329,0.06,MXN,189.94,90.26,chamarra,210%,2.18%
JEAN 5.11 - DEFENDER-FLEX JEAN CORTE REGULAR Dark Wash Indigo / 34 / 32,shopify_mx_8691573293280_46315323719904,48,2575,0.04,MXN,152.57,133,jean,115%,1.86%
BOTAS TÁCTICAS 5.11 - A/T LOW 2.0 DK US Coyote / 6 MX,shopify_mx_8990058152160_47785911255264,6,444,0.12,MXN,146.9,25.63,botas,573%,1.35%
CINTURON TACTICO 5.11 - INNER EDC BELT L,shopify_mx_8557944176864_45782338863328,53,3996,0.09,MXN,144.91,173.56,cinturón,83%,1.33%
Sudadera Stratos 5.11 – Comodidad y Rendimiento en Cada Movimiento Major Brown / M,shopify_mx_8272351953120_44876396593376,24,2240,0.09,MXN,144.42,171.01,chamarra,84%,1.07%
CALCETINES 5.11 - SOCK AND AWE CREW GNOME Large,shopify_mx_7919750840544_43624542503136,4,195,0.04,MXN,134.91,10.5,calcetines,1285%,2.05%
ACCESORIOS TACTICOS 5.11 - RUSH TIER SYSTEM Ranger Green / One Size,shopify_mx_4425967927348_31518044225588,11,222,0.34,MXN,132.2,65.46,complemento,202%,4.95%
CAMISA TACTICA 5.11 - TACLITE PRO MANGA LARGA TDU Khaki / Medium,shopify_mx_7097054471_28649313271860,35,3541,0.03,MXN,129.52,98.97,camisa hombre,131%,0.99%
PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 36 / 32,shopify_mx_6148260167855_37822550638767,28,1677,0.05,MXN,120.42,53.02,pantalones,227%,1.67%
CAMISA TACTICA 5.11 - MARKSMAN MANGA CORTA Mushroom / Medium,shopify_mx_6762914513071_47785574826208,8,300,0.2,MXN,117,22.41,camisa hombre,522%,2.67%
CAMISA TACTICA 5.11 - WYATT MANGA CORTA Tank Green / X-Large,shopify_mx_8050611192032_47785561030880,5,426,0.2,MXN,117,10.2,camisa hombre,1147%,1.17%
CAMISA TACTICA 5.11 - WYATT DE CUADROS Kangaroo Plaid / X-Large,shopify_mx_6794663690415_44172380471520,56,5248,0.2,MXN,117,173.6,camisa hombre,67%,1.07%
LLAVERO 5.11 - KEEP ON ROLLING,shopify_mx_7919752970464_43624549449952,12,1301,0.2,MXN,117,22.89,llavero,511%,0.92%
PANTALON TACTICO 5.11 - FAST-TAC URBAN PANTS Battle Brown / 38 / 30,shopify_mx_9467052039_36658153259168,54,4304,0.16,MXN,113.06,236.55,pantalones,48%,1.25%
MOCHILA TACTICA 5.11 - RUSH 24 2.0 Black,shopify_mx_6321127653551_38362709033135,224,14250,0.03,MXN,101.69,708.96,mochila,14%,1.57%
SHORT DEPORTIVO 5.11 - PT-R HAVOC PRO SHORT Shadow Green / Large,shopify_mx_8050611814624_45757807001824,6,258,0.05,MXN,97.15,10.76,short,903%,2.33%
PANTALON TACTICO 5.11 - FAST-TAC URBAN PANTS Black / 28 / 32,shopify_mx_9467052039_36658152112288,131,6650,0.16,MXN,96.33,459.97,pantalones,21%,1.97%
PANTALON TACTICO 5.11 - RIDGE PANT Khaki / 30 / 30,shopify_mx_6956242174127_43215803711712,34,4102,0.16,MXN,96.33,252.7,pantalones,38%,0.83%
Bota táctica 5.11 A/T 8 | Confort y tecnología para cargas pesadas Black / 8 MX,shopify_mx_8864600424672_47229526081760,98,5341,0.12,MXN,95.71,179.33,botas,53%,1.83%
Bota táctica 5.11 A/T 8 | Confort y tecnología para cargas pesadas Black / 6 MX,shopify_mx_8864600424672_47229526016224,35,2758,0.12,MXN,95.71,64.89,botas,147%,1.27%
CAMISA TACTICA 5.11 - WATERPROOF RAPID OPS Black / Large,shopify_mx_7819826888928_43331318677728,22,875,0.07,MXN,94.83,66.39,camisa hombre,143%,2.51%
PANTALON TACTICO 5.11 - APEX PANTS Dark Navy / 40 / 32,shopify_mx_6800174343_45745296933088,2,69,0.04,MXN,93.7,6.32,pantalones,1483%,2.90%
PANTALON TACTICO 5.11 - EDGE CHINO PANT Dark Navy / 44 / 32,shopify_mx_1500359589940_13817329680436,10,670,0.09,MXN,89.75,98.19,pantalones,91%,1.49%
PANTALON TACTICO 5.11 - EDGE CHINO 2.0 Sage Green / 38 / 30,shopify_mx_8064140148960_47009781350624,2,146,0.05,MXN,89.62,7.44,pantalones,1205%,1.37%
PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 38 / 32,shopify_mx_6148260167855_37822550704303,71,5523,0.03,MXN,61.02,166.22,pantalones,37%,1.29%
PANTALON TACTICO 5.11 - ABR PRO PANT Dark Navy / 34 / 30,shopify_mx_6148260167855_37822551752879,286,12842,0.03,MXN,60.82,541.3,pantalones,11%,2.23%
"Mochila 5.11 LV18 2.0, Gran Capacidad y Resistencia Tundra",shopify_mx_8014193066208_47093103755488,177,25932,0.02,MXN,59.78,562.67,mochila,11%,0.68%
PANTALON TACTICO 5.11 - STRYKE PANTS W/FLEX-TAC TM Tundra / 34 / 30,shopify_mx_3709626187828_47882539466976,6,174,0.03,MXN,54.31,8.08,pantalones,672%,3.45%
MOCHILA TACTICA 5.11 - RUSH 24 2.0 Ranger Green,shopify_mx_6321127653551_43185530241248,238,23102,0.03,MXN,48.31,750.07,mochila,6%,1.03%
PANTALON TACTICO 5.11 - ABR PRO PANT Black / 34 / 30,shopify_mx_6148260167855_37822549950639,12,1010,0.02,MXN,46.42,28.47,pantalones,163%,1.19%
PANTALON TACTICO 5.11 - RIDGE PANT Kangaroo / 34 / 30,shopify_mx_6956242174127_43222669623520,18,1674,0.02,MXN,45.3,88.05,pantalones,51%,1.08%
CHAMARRA 5.11 - ROMPEVIENTOS PARA MUJER Volcanic / Large,shopify_mx_8050610405600_44027696382176,24,628,0.06,MXN,42.74,57.79,chamarra dama,74%,3.82%
CHAMARRA TACTICA 5.11 - ADVENTURE RAIN SHELL PARA MUJER Black / L,shopify_mx_8272350707936_44876391907552,13,505,0.06,MXN,42.74,53.91,chamarra dama,79%,2.57%
PLAYERA DEPORTIVA 5.11 - NO MERCY PT-R PACIFIC NAVY WINTER WARRIOR CAMO / Large,shopify_mx_8050611716320_47004592079072,2,60,0.02,MXN,38.86,7.26,playera hombre,535%,3.33%
PLAYERA DEPORTIVA 5.11 - NO MERCY PT-R Pacific Navy / X-Large,shopify_mx_8971535417568_47786141516000,3,56,0.02,MXN,38.86,9.99,playera hombre,389%,5.36%
PANTALON TACTICO 5.11 - FAST-TAC TDU PANT Black / 32 / 32,shopify_mx_8554258727136_45773005619424,147,6775,0.01,MXN,33.1,556.19,pantalones,6%,2.17%
PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 30 / 30,shopify_mx_6148260167855_37822550409391,22,1824,0.05,MXN,31.99,91.31,pantalones,35%,1.21%
CAMISA TACTICA 5.11 - V.XI SIGURD MANGA LARGA Ranger Green / XL,shopify_mx_8540609708256_45735768260832,34,2519,0.01,MXN,16.22,63.41,camisa hombre,26%,1.35%
PANTALON TACTICO 5.11 - TACLITE PRO PANTS TDU Khaki / 32 / 30,shopify_mx_6945928775_28978557895,11,513,0.01,MXN,8.06,39.68,pantalones,20%,2.14%
Pantalón Cepheus 5.11: Comodidad y Funcionalidad para Aventuras Black / 32,shopify_mx_8824796414176_46999460774112,4,243,0.01,MXN,8.06,5.45,pantalones,148%,1.65%
HARNESS 5.11 PARA PERRO - MISSIONREADY Fluorscn Org / M,shopify_mx_8947136463072_47618442264800,65,3516,0.01,MXN,5.27,225.46,accesorio,2%,1.85%
CAMISA TACTICA 5.11 - RAPID ASSAULT Dark Navy / Large,shopify_mx_7819830296800_43331328344288,105,4116,0,MXN,3.14,378.8,camisa hombre,1%,2.55%
CAMISA TACTICA 5.11 - RAPID ASSAULT Black / Small,shopify_mx_7819830296800_46280956379360,5,474,0,MXN,3.14,8,camisa hombre,39%,1.05%
Mochila 5.11 LVC8 Sling 8L Black,shopify_mx_8840908439776_47785543303392,70,5195,0,MXN,1.5,264.01,mochila,1%,1.35%
Gorro táctico Boonie Hat – 5.11 Mexico TDU Green / S-M,shopify_mx_3803481669684_46274384396512,10,1380,0,MXN,1.34,51.09,gorra,3%,0.72%
BOLSA TACTICA 5.11 - ALLHAULA WAIST PACK Kangaroo,shopify_mx_9065190129888_48119064723680,35,4745,0,MXN,1.34,53.93,bolsa,2%,0.74%
CHAMARRA DEPORTIVA 5.11 - PT-R CATALYST PRO Pacific Navy / Large,shopify_mx_8050611749088_45710357070048,7,186,0,MXN,0.03,12.78,chamarra,0%,3.76%
CAMISA 5.11 - OSCAR MANGA CORTA Ranger Green Tropical / L,shopify_mx_8951268671712_48403721224416,1,61,0,MXN,0.03,8.17,camisa hombre,0%,1.64%
CAMISA TACTICA 5.11 - TWILL PDU CLASS A PARA MUJER Black / Medium,shopify_mx_7819825447136_43331315892448,1,110,0,MXN,0,0.93,camisa mujer,0%,0.91%
GUANTES TACTICOS 5.11 - HARD TIMES 2 Kangaroo / XL,shopify_mx_8685065404640_46285505429728,6,566,0,MXN,0,6.97,guantes,0%,1.06%
POLO TACTICA 5.11 - CLASS A UNIFORM MANGA CORTA PARA MUJER Silver Tan / Large,shopify_mx_6743473946799_39970907259055,0,3,0,MXN,0,0,polo dama,0%,0.00%
MOCHILA TACTICA 5.11 - MVR 25L Covert Green,shopify_mx_9447731626208_50120689254624,1,172,0,MXN,0,2.11,mochila,0%,0.58%
PARCHE TACTICO 5.11 - CHAMPION RISK,shopify_mx_7819741233376_43330999681248,1,281,0,MXN,0,9.75,parche,0%,0.36%
PLAYERA TACTICA 5.11 - JASPER THERMAL Sand Dune / L,shopify_mx_8272351002848_44876393119968,2,67,0,MXN,0,1.04,playera hombre,0%,2.99%
POLO TACTICA 5.11 - ARCHER S/S POLO 2.0 Desert Sage / Large,shopify_mx_8050610307296_44027695726816,0,159,0,MXN,0,0,polo hombre,0%,0.00%
PLAYERA TACTICA 5.11 - OFFROAD DREAMING White / Small,shopify_mx_8225754153184_44644442702048,1,67,0,MXN,0,0.97,playera hombre,0%,1.49%
PANTALON TACTICO 5.11 - ICON PANTS Flint / 32 / 32,shopify_mx_4422554419252_31510386245684,8,163,0,MXN,0,16.73,pantalones,0%,4.91%
CAMISA TACTICA 5.11 - STRYKE MANGA CORTA Khaki / Small,shopify_mx_422401638437_28649302097972,7,737,0,MXN,0,6,camisa hombre,0%,0.95%
PLAYERA 5.11 - WOODLAND MOTO LG PARA MUJER L,shopify_mx_8972014125280_47720710504672,0,4,0,MXN,0,0,playera mujer,0%,0.00%
CHAMARRA TACTICA 5.11 - PACKABLE JACKET Dark Navy / X-Large,shopify_mx_7572696563936_42480181969120,6,397,0,MXN,0,9.14,chamarra,0%,1.51%
PLAYERA DEPORTIVA 5.11 - PT-R CHARGE S/S 2.0 Pacific Navy Heather / Medium,shopify_mx_8050611650784_45737249308896,0,14,0,MXN,0,0,playera hombre,0%,0.00%
Pantalón Apex Softshell 5.11: funcionalidad para invierno Dark Navy / 10,shopify_mx_8835184197856_47059913736416,0,25,0,MXN,0,0,pantalones dama,0%,0.00%
CHAMARRA DEPORTIVA 5.11 - STRATOS FULL ZIP PARA MUJER Light Fawn / X-Small,shopify_mx_8096901562592_45751422615776,0,45,0,MXN,0,0,chamarra dama,0%,0.00%
CHAMARRA 5.11 - EXPLORE PRIMALOFT Ranger Green / L,shopify_mx_9044311245024_48045465239776,1,129,0,MXN,0,1.17,chamarra,0%,0.78%
ACCESORIO TACTICO 5.11 - RIGID CUFF Black / One Size,shopify_mx_7092386247_7192695603252,65,7183,0,MXN,0,247.44,accesorio,0%,0.90%
PANTALON TACTICO 5.11 - DEFENDER-FLEX JEAN-SLIM Tinted Wash Indigo / 38 / 32,shopify_mx_4422255018036_45773079249120,0,1,0,MXN,0,0,jean,0%,0.00%
PARCHE TACTICO 5.11 - STAR SPANGLED,shopify_mx_7919752085728_43624546762976,1,111,0,MXN,0,5.17,parche,0%,0.90%
CAMISA TACTICA 5.11 - TACLITE PRO MANGA LARGA Dark Navy / X-Large,shopify_mx_7097054471_28649313665076,46,2323,0,MXN,0,44.82,camisa hombre,0%,1.98%
PANTALON TACTICO 5.11 - RIDGE PANT Dark Navy / 32 / 32,shopify_mx_6956242174127_43215832973536,9,432,0,MXN,0,10.32,pantalones,0%,2.08%
CAMISA TACTICA 5.11 - FAST-TAC MANGA LARGA PARA MUJER Dark Navy / Large,shopify_mx_7819826626784_44170486644960,4,203,0,MXN,0,4.32,camisa mujer,0%,1.97%
BOTAS TACTICAS 5.11 - ATAC 2.0 6 CST CON CASQUILLO 5 MX,shopify_mx_9059162063072_48097189691616,31,1171,0,MXN,0,34.78,botas,0%,2.65%
PARCHE TACTICO 5.11 - DEEP BLUE RISK,shopify_mx_7510448996576_42258820006112,2,244,0,MXN,0,3.65,parche,0%,0.82%
PANTALON TACTICO 5.11 - STRYKE PARA MUJER Tundra / 4 / Regular,shopify_mx_6931237575_36858966147232,1,141,0,MXN,0,0.85,pantalones dama,0%,0.71%
PLAYERA 5.11 - PT-R BRICK PARA MUJER Shadow Green / XS,shopify_mx_8835989668064_47633607196896,0,5,0,MXN,0,0,playera mujer,0%,0.00%
Pantalón Apex Softshell 5.11: funcionalidad para invierno Black / 12,shopify_mx_8835184197856_47059913310432,0,43,0,MXN,0,0,pantalones dama,0%,0.00%
PANTALON TACTICO 5.11 - ABR PRO PANT Black / 28 / 30,shopify_mx_6148260167855_37822549754031,0,27,0,MXN,0,0,pantalones,0%,0.00%
Playera 5.11 Campout Off-Road Red Dirt / L,shopify_mx_8858102825184_47185534615776,1,52,0,MXN,0,1.08,playera hombre,0%,1.92%
Tenis tácticos 5.11 Ranger 2.0 Mid 5 MX,shopify_mx_8940409815264_47596873187552,35,4828,0,MXN,0,84.37,calzado,0%,0.72%
SUDADERA 5.11 - TIGER CAMO L,shopify_mx_9042321047776_48042142466272,8,577,0,MXN,0,12.65,chamarra,0%,1.39%
Chamarra Duty Softshell 5.11: resistencia y confort para profesionales Black / L,shopify_mx_8835180232928_47059888439520,0,223,0,MXN,0,0,chamarra dama,0%,0.00%
