Item ID,Title,Clicks,Orders,Revenue,Cost,ROAS,Recommended_Bucket,Reason
shopify_mx_8864600424672_47229526147296,Bota táctica 5.11 A/T 8 | Confort y tecnología para cargas pesadas Dark Coyote / 5 MX,217,1,1450.0,658.39,2.2,Improvers,ROAS_2_to_4
shopify_mx_7785116893408_43210946347232,MOCHILA TACTICA 5.11 - RUSH 72 2.0 Black,172,2,13593.3,649.85,20.92,Champions,ROAS>=8_clicks>=100
shopify_mx_8951276962016_47636050608352,BOLSA TACTICA 5.11 - BAILOUT,221,0,1798.4,648.57,2.77,Improvers,ROAS_2_to_4
shopify_mx_9467052039_45772954468576,PANTALON TACTICO 5.11 - FAST-TAC URBAN PANTS Black / 44 / 32,189,0,1468.57,648.39,2.26,Improvers,ROAS_2_to_4
shopify_mx_6974614110383_43222704947424,PANTALON TACTICO 5.11 - ABR PRO PANT PARA MUJER Dark Navy / 8 R,195,1,3599.39,621.2,5.79,Winners,ROAS>=4
shopify_mx_1119780798516_31454762500148,PANTALON TACTICO 5.11 - DEFENDER-FLEX PANTS Oil Green / 42 / 32,141,1,2076.94,620.91,3.34,Improvers,ROAS_2_to_4
shopify_mx_8857109823712_47177739337952,MOCHILA TACTICA 5.11 - RUSH24 2.0 2025 EDICION LIMITADA,160,0,0.0,608.3,0.0,Zombies,ROAS<2
shopify_mx_7785116893408_45403512668384,MOCHILA TACTICA 5.11 - RUSH 72 2.0 Ranger Green,143,1,4605.51,604.06,7.62,Winners,ROAS>=4
shopify_mx_8096902611168_44170684006624,BOTAS TACTICAS 5.11 - EVO 2.0 8 INCH AR670-1 Dark Coyote / 6 MX,187,0,890.36,601.94,1.48,Zombies,ROAS<2
shopify_mx_6974614110383_43222704980192,PANTALON TACTICO 5.11 - ABR PRO PANT PARA MUJER Dark Navy / 10 R,251,1,2449.69,596.81,4.1,Winners,ROAS>=4
shopify_mx_7819838783712_47296662896864,CAMISA TACTICA 5.11 - ABR PRO MANGA LARGA Dark Navy / Large,276,1,5728.99,595.47,9.62,Champions,ROAS>=8_clicks>=100
shopify_mx_8014193066208_47093103755488,"Mochila 5.11 LV18 2.0, Gran Capacidad y Resistencia Tundra",177,0,59.78,562.67,0.11,Zombies,ROAS<2
shopify_mx_7844391649504_43372483051744,CHALECO TACTICO 5.11 - TACTEC PORTA PLACAS CON PLACAS DE PESO Black / PAR DE PLACAS DE 14 LIBRAS,212,1,7290.0,559.5,13.03,Champions,ROAS>=8_clicks>=100
shopify_mx_8050609750240_44027692515552,"CINTURON TACTICO 5.11 - TDU 1.5"" INCH BELT Black / Medium",268,3,4756.33,557.04,8.54,Champions,ROAS>=8_clicks>=100
shopify_mx_8554258727136_45773005619424,PANTALON TACTICO 5.11 - FAST-TAC TDU PANT Black / 32 / 32,147,0,33.1,556.19,0.06,Zombies,ROAS<2
shopify_mx_8907311841504_47490548662496,Chaleco 5.11 TacTec Trainer Volcanic,173,1,13262.42,545.28,24.32,Champions,ROAS>=8_clicks>=100
shopify_mx_6148260167855_37822551752879,PANTALON TACTICO 5.11 - ABR PRO PANT Dark Navy / 34 / 30,286,0,60.82,541.3,0.11,Zombies,ROAS<2
shopify_mx_8547068870880_45751245963488,GORRA 5.11 - SCOPE CAP Black,219,0,0.0,491.81,0.0,Zombies,ROAS<2
shopify_mx_8050609815776_44027692876000,CINTURON TACTICO 5.11 - MAVERICK BATTLE BELT Ranger Green / Large,215,0,1774.21,484.41,3.66,Improvers,ROAS_2_to_4
shopify_mx_8963845947616_47680218726624,BOLSA TACTICA 5.11 - PT-R DAILY GRIND DUFFEL,208,1,1700.35,483.27,3.52,Improvers,ROAS_2_to_4
shopify_mx_6321134600367_38362728726703,MOCHILA TACTICA 5.11 - RUSH 12 2.0 Double Tap,152,2,5955.75,479.29,12.43,Champions,ROAS>=8_clicks>=100
shopify_mx_8014193066208_45414440337632,"Mochila 5.11 LV18 2.0, Gran Capacidad y Resistencia Blueblood",152,1,3176.25,478.74,6.63,Winners,ROAS>=4
shopify_mx_6148260167855_37822550442159,PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 30 / 32,154,0,1279.68,475.63,2.69,Improvers,ROAS_2_to_4
shopify_mx_8014193131744_43926439428320,BOLSA TACTICA 5.11 - LV6 2.0 WAIST PACK Black,260,0,0.0,475.22,0.0,Zombies,ROAS<2
shopify_mx_7097054471_28649313632308,CAMISA TACTICA 5.11 - TACLITE PRO MANGA LARGA Dark Navy / Large,200,0,259.02,467.85,0.55,Zombies,ROAS<2
shopify_mx_8861992517856_47212259770592,Pouch 5.11 Allhaula Dry,139,1,2464.34,465.28,5.3,Winners,ROAS>=4
shopify_mx_8050609881312_44027693236448,CHAMARRA TACTICA 5.11 - RADAR PACKABLE HOODED JACKET Black / Large,182,3,6125.58,460.06,13.31,Champions,ROAS>=8_clicks>=100
shopify_mx_9467052039_36658152112288,PANTALON TACTICO 5.11 - FAST-TAC URBAN PANTS Black / 28 / 32,131,0,96.33,459.97,0.21,Zombies,ROAS<2
shopify_mx_6148260167855_37822550474927,PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 32 / 30,150,1,3455.0,457.65,7.55,Winners,ROAS>=4
shopify_mx_8050611192032_47181666582752,CAMISA TACTICA 5.11 - WYATT MANGA CORTA Black / Large,127,0,597.28,456.0,1.31,Zombies,ROAS<2
